time,ph7_1,ph7_2,ph7_3,,,ph1_1,ph1_2,ph1_3,,,ph3_1,ph3_2,ph3_3,,,ph5_1,ph5_2,ph5_3,,,ph9_1,ph9_2,ph9_3,,,ph11_1,ph11_2,ph11_3
1,6962,6942,6873,,,6246,6147,6085,,,6228,6253,6321,,,6655,6781,6727,,,6910,6965,6929,,,7266,7244,7120
2,7015,7040,7005,,,6212,6123,6170,,,6219,6269,6199,,,6824,6816,6763,,,6980,7011,7016,,,7270,7182,7213
3,7065,7069,7062,,,6232,6190,6162,,,6338,6189,6319,,,6809,6848,6726,,,6992,6990,7086,,,7314,7270,7227
4,7112,7041,7016,,,6143,6147,6146,,,6218,6290,6218,,,6820,6845,6833,,,6942,7049,6993,,,7322,7207,7267
5,7049,7049,7068,,,6168,6120,6214,,,6182,6311,6298,,,6906,6718,6832,,,6963,7089,7010,,,7211,7208,7261
6,7044,7128,7114,,,6219,6149,6222,,,6198,6322,6255,,,6844,6798,6802,,,6967,7029,7112,,,7220,7318,7245
7,7055,7040,7039,,,6172,6125,6149,,,6187,6287,6197,,,6740,6865,6786,,,7025,7030,7090,,,7220,7304,7195
8,7060,7066,7097,,,6119,6148,6210,,,6186,6218,6267,,,6834,6847,6826,,,7027,7057,6996,,,7244,7343,7269
9,7121,7130,7160,,,6112,6157,6232,,,6219,6294,6145,,,6783,6718,6822,,,7029,7031,7031,,,7308,7283,7334
10,6997,7047,7078,,,6088,6107,6214,,,6087,6291,6173,,,6760,6885,6821,,,7018,7159,7130,,,7270,7261,7312
11,7038,7125,7094,,,6128,6084,6115,,,6139,6275,6192,,,6790,6793,6779,,,7082,7077,7112,,,7304,7204,7316
12,7030,7103,7093,,,6058,6080,6221,,,6091,6267,6194,,,6774,6859,6788,,,7044,7102,7032,,,7298,7208,7190
13,7040,7053,7104,,,6192,6076,6154,,,6160,6306,6233,,,6774,6769,6808,,,6989,7066,7079,,,7242,7245,7138
14,7076,7060,7067,,,6047,6102,6202,,,6112,6202,6175,,,6846,6866,6858,,,7098,7012,7072,,,7225,7211,7201
15,7012,7079,6993,,,6074,6117,6191,,,6235,6236,6160,,,6764,6830,6879,,,7062,7118,7012,,,7228,7254,7275
16,7124,7044,7079,,,6122,6139,6181,,,6161,6241,6176,,,6736,6834,6830,,,7025,7061,7017,,,7284,7201,7246
17,7103,6992,7045,,,6139,6068,6155,,,6175,6267,6075,,,6784,6802,6917,,,7044,7057,6975,,,7283,7346,7225
18,7059,7042,7098,,,6107,6028,6178,,,6157,6224,6101,,,6837,6811,6849,,,7018,7131,6997,,,7236,7199,7223
19,7108,7086,7039,,,6165,6066,6164,,,6123,6298,6166,,,6747,6866,6774,,,7040,7069,7044,,,7168,7319,7227
20,7075,7078,7104,,,6200,6150,6216,,,6223,6190,6146,,,6751,6824,6867,,,7113,7012,6989,,,7225,7253,7208
21,7115,7194,7058,,,6214,6167,6114,,,6143,6197,6115,,,6758,6778,6847,,,7088,7025,7018,,,7186,7329,7166
22,7041,7111,6946,,,6071,6140,6147,,,6216,6197,6184,,,6775,6673,6768,,,7062,7051,7117,,,7197,7260,7284
23,7058,7113,7037,,,6053,6106,6098,,,6157,6264,6139,,,6739,6777,6824,,,7040,7028,7056,,,7234,7230,7175
24,7053,7058,7008,,,6161,6059,6112,,,6169,6178,6151,,,6769,6733,6918,,,7021,7041,7012,,,7160,7236,7297
25,7097,7034,6977,,,6116,6157,6120,,,6193,6260,6204,,,6761,6792,6808,,,7039,7108,7027,,,7175,7277,7265
26,7090,7048,7082,,,6163,6197,6086,,,6193,6228,6232,,,6776,6756,6817,,,7080,7084,7040,,,7222,7181,7383
27,7055,7060,7011,,,6172,6080,6166,,,6086,6244,6182,,,6687,6830,6836,,,6957,7022,7002,,,7190,7177,7246
28,7109,7017,7021,,,6150,6132,6061,,,6118,6243,6186,,,6704,6790,6842,,,6971,6984,7073,,,7183,7191,7303
29,7016,7014,7058,,,6170,6139,6217,,,6084,6229,6175,,,6654,6884,6800,,,6939,7125,7050,,,7284,7219,7256
30,7030,7067,7059,,,6169,6120,6147,,,6147,6293,6149,,,6704,6849,6828,,,6968,6988,7043,,,7273,7246,7255
31,7093,7040,7082,,,6043,6204,6169,,,6212,6227,6297,,,6733,6813,6815,,,6964,7016,6983,,,7159,7227,7179
32,7080,7035,6985,,,6155,6090,6141,,,6208,6243,6225,,,6738,6736,6779,,,6937,7045,6950,,,7146,7165,7210
33,7072,7056,7056,,,6106,6138,6230,,,6172,6241,6243,,,6792,6745,6846,,,7009,7013,7025,,,7199,7245,7158
34,7026,7118,6931,,,6119,6100,6265,,,6146,6124,6214,,,6775,6763,6836,,,7015,6920,7027,,,7250,7166,7200
35,7120,7167,7014,,,6144,6193,6163,,,6133,6201,6121,,,6703,6724,6828,,,7091,6959,6964,,,7210,7237,7254
36,7057,7017,7003,,,6160,6128,6178,,,6159,6169,6126,,,6740,6679,6798,,,7009,7061,7008,,,7259,7212,7206
37,7110,7051,7025,,,6164,6119,6188,,,6230,6234,6163,,,6681,6696,6747,,,6998,6995,7007,,,7223,7281,7183
38,7106,7073,7017,,,6163,6104,6129,,,6181,6210,6210,,,6756,6715,6817,,,7007,7037,6960,,,7314,7304,7181
39,7151,7088,6960,,,6178,6075,6115,,,6108,6165,6243,,,6763,6696,6727,,,7005,6961,7051,,,7227,7198,7214
40,7078,7040,6956,,,6173,6105,6157,,,6161,6171,6204,,,6693,6698,6795,,,6931,6959,7004,,,7264,7173,7226
41,7060,7054,7038,,,6171,6089,6173,,,6112,6134,6286,,,6717,6765,6844,,,7040,7039,7078,,,7230,7232,7254
42,7103,7039,6938,,,6132,6211,6118,,,6111,6097,6180,,,6756,6733,6790,,,6981,7047,7074,,,7334,7166,7246
43,7043,7029,6949,,,6217,6179,6082,,,6090,6197,6212,,,6701,6759,6789,,,6991,6968,7070,,,7237,7186,7231
44,7164,7075,6946,,,6195,6149,6124,,,6111,6137,6237,,,6773,6661,6767,,,6947,6995,7022,,,7273,7220,7199
45,7118,6997,7005,,,6160,6174,6198,,,6078,6226,6250,,,6748,6804,6789,,,6898,7063,6999,,,7211,7212,7222
46,7003,7010,6991,,,6035,6125,6112,,,6163,6160,6231,,,6738,6710,6830,,,6905,6938,7011,,,7184,7186,7179
47,7128,7025,6942,,,6162,6140,6108,,,6167,6219,6170,,,6795,6666,6799,,,6909,6947,7003,,,7251,7280,7255
48,6994,7000,7022,,,6187,6140,6155,,,6127,6182,6231,,,6750,6618,6766,,,6898,7018,7028,,,7299,7237,7249
49,7014,6985,7023,,,6144,6100,6153,,,6128,6170,6220,,,6749,6720,6819,,,6931,6946,7022,,,7290,7214,7225
50,6998,7091,6942,,,6102,6081,6035,,,6036,6280,6173,,,6752,6648,6832,,,6907,7081,7008,,,7312,7178,7195
51,7045,7099,7031,,,6160,6156,6102,,,6138,6219,6181,,,6705,6724,6842,,,6864,6955,6940,,,7237,7181,7202
52,7071,6972,6971,,,6243,6090,6053,,,6116,6122,6146,,,6722,6673,6856,,,6955,6946,7013,,,7244,7220,7204
53,7035,7004,7029,,,6189,6069,6090,,,6229,6194,6178,,,6752,6682,6819,,,6890,7067,7051,,,7257,7240,7210
54,7091,7059,6849,,,6113,6142,6118,,,6211,6083,6170,,,6729,6757,6755,,,6913,6982,7009,,,7299,7158,7039
55,7091,7041,7022,,,6139,6080,6090,,,6211,6159,6176,,,6771,6732,6804,,,6888,6950,6974,,,7185,7278,7214
56,7023,7107,6948,,,6210,6177,6141,,,6082,6164,6094,,,6700,6742,6760,,,6860,6992,7059,,,7315,7146,7173
57,7127,7018,7029,,,6159,6150,6113,,,6142,6184,6212,,,6760,6722,6820,,,6972,7024,7085,,,7356,7111,7227
58,7046,7037,7019,,,6100,6122,6072,,,6203,6136,6172,,,6787,6777,6828,,,6912,6938,7063,,,7318,7105,7234
59,7044,6994,7001,,,6119,6047,6133,,,6115,6228,6300,,,6797,6744,6766,,,6949,6978,6998,,,7265,7098,7228
60,7072,7007,7023,,,6217,6096,6092,,,6079,6112,6189,,,6665,6743,6745,,,6980,6984,7083,,,7277,7131,7140
61,7118,6932,7009,,,6162,6187,6202,,,6174,6177,6198,,,6678,6763,6760,,,6967,6941,7051,,,7267,7155,7050
62,7029,7015,6999,,,6121,6112,6089,,,6169,6206,6247,,,6740,6738,6823,,,6960,7070,7082,,,7200,7112,7174
63,7134,7057,6959,,,6173,6151,6100,,,6152,6139,6180,,,6674,6708,6835,,,6989,7024,6970,,,7244,7088,7124
