time,ph7_1,ph7_2,ph7_3,,,ph1_1,ph1_2,ph1_3,,,ph3_1,ph3_2,ph3_3,,,ph5_1,ph5_2,ph5_3,,,ph9_1,ph9_2,ph9_3,,,ph11_1,ph11_2,ph11_3
0,0.0005086,0.0005012,0.0005105,,,0.0005012,0.0005062,0.0005086,,,0.0005017,0.0005059,0.0005065,,,0.0005081,0.0005062,0.0005038,,,0.0005012,0.0005042,0.0005067,,,0.0005036,0.0005064,0.0005098
0.1,0.1776332,0.1814639,0.1793586,,,0.2342808,0.235642,0.2558535,,,0.2287865,0.2371851,0.2431004,,,0.180373,0.1873503,0.1821199,,,0.2010743,0.1884305,0.1939067,,,0.201538,0.1951595,0.214827
0.2,0.2154212,0.2137455,0.2024279,,,0.3111168,0.3060313,0.3232648,,,0.2910267,0.3039671,0.2930835,,,0.2037495,0.2168778,0.2178359,,,0.2218568,0.2177532,0.2235752,,,0.2459432,0.2365698,0.2601612
0.3,0.2170229,0.2262825,0.2246716,,,0.3532068,0.3510477,0.3570124,,,0.3373428,0.341452,0.3624897,,,0.2288716,0.2296908,0.2400938,,,0.2482267,0.2312264,0.2360902,,,0.2689522,0.2886116,0.2907074
0.4,0.2322947,0.2481524,0.2525301,,,0.3667502,0.4051438,0.411018,,,0.3746589,0.3722188,0.4076096,,,0.2396949,0.2534512,0.2612544,,,0.2602333,0.2511608,0.2562813,,,0.2964971,0.3086157,0.3075687
0.5,0.2499321,0.2470684,0.2530272,,,0.4151146,0.4176631,0.4500675,,,0.3797297,0.3992999,0.4352205,,,0.2426483,0.2578784,0.2737345,,,0.26851,0.2448284,0.2601474,,,0.3029327,0.3260331,0.3437885
0.6,0.2603692,0.2619142,0.2710001,,,0.410258,0.4465755,0.4526911,,,0.401985,0.4078321,0.4661921,,,0.2595787,0.2632546,0.2735383,,,0.2685342,0.2627222,0.2853497,,,0.3157153,0.3667474,0.3480761
0.7,0.2742806,0.2725494,0.2746072,,,0.4558292,0.4470555,0.4808117,,,0.4237113,0.4324104,0.4804369,,,0.2426755,0.2694456,0.2823043,,,0.284619,0.273645,0.2870876,,,0.3274753,0.379969,0.3494422
0.8,0.2893981,0.2769789,0.2932181,,,0.4725329,0.4829811,0.4784285,,,0.4269559,0.436264,0.4714852,,,0.2712059,0.2822035,0.2928299,,,0.2750136,0.2852069,0.2973965,,,0.3474585,0.4017358,0.3625752
0.9,0.299445,0.3054713,0.2746578,,,0.5062063,0.4799585,0.4974796,,,0.4535028,0.4305506,0.4962987,,,0.2892115,0.281786,0.287576,,,0.2779219,0.2846906,0.307818,,,0.3621191,0.3973055,0.3911917
1,0.3149056,0.3006536,0.2781816,,,0.5212433,0.5075888,0.4894936,,,0.4633697,0.4524047,0.516081,,,0.2883282,0.2887821,0.3083065,,,0.2884504,0.2878523,0.3178474,,,0.3869917,0.4099718,0.3984374
1.1,0.3135968,0.2989919,0.2775343,,,0.5109809,0.5134352,0.4900934,,,0.4807206,0.4433735,0.5445197,,,0.308349,0.2999979,0.3027563,,,0.2826596,0.2920133,0.3063465,,,0.4156511,0.4037769,0.4156443
1.2,0.3246584,0.2855863,0.2809144,,,0.5193622,0.5356221,0.5132484,,,0.4757114,0.4528518,0.5565411,,,0.3120974,0.2886759,0.3066202,,,0.295218,0.2908602,0.3084251,,,0.4418432,0.4240862,0.4268204
1.3,0.3495668,0.2920174,0.2850386,,,0.5439487,0.5318021,0.5247826,,,0.5403298,0.4655744,0.5655475,,,0.3107082,0.2868144,0.3081922,,,0.3012807,0.3036823,0.3165716,,,0.4779497,0.4318122,0.4335689
1.4,0.3362708,0.3196576,0.2903561,,,0.5408246,0.5364306,0.5571031,,,0.518107,0.4723494,0.5607997,,,0.3354096,0.2698256,0.3055297,,,0.2998353,0.2997044,0.3007721,,,0.4851286,0.4429834,0.4442307
1.5,0.3552715,0.3458486,0.2883753,,,0.5630673,0.5412159,0.5558474,,,0.5083091,0.4793018,0.5840746,,,0.3190084,0.2897807,0.310673,,,0.3009113,0.3057211,0.2948183,,,0.4831326,0.4839287,0.4325185
1.6,0.3622191,0.3265893,0.2868213,,,0.5822631,0.5494503,0.5635511,,,0.5381705,0.4998561,0.5705263,,,0.3086518,0.2962316,0.3089524,,,0.3150982,0.3209951,0.3183486,,,0.4857894,0.4828298,0.4274338
1.7,0.3976732,0.3458849,0.2836984,,,0.6050925,0.5445307,0.5594699,,,0.5452067,0.4981617,0.5831854,,,0.3187713,0.307508,0.3043868,,,0.3110741,0.3359741,0.3253666,,,0.4920931,0.4853883,0.4250222
