time,ph7_1,ph7_2,ph7_3,,,ph1_1,ph1_2,ph1_3,,,ph3_1,ph3_2,ph3_3,,,ph5_1,ph5_2,ph5_3,,,ph9_1,ph9_2,ph9_3,,,ph11_1,ph11_2,ph11_3
1,1598.048,1593.379,1573.043,,,1732.31,1709.39,1721.792,,,1666.218,1685.601,1683.499,,,1577.085,1596.058,1591.004,,,1593.136,1576.833,1597.187,,,1676.062,1678.804,1646.774
2,1603.084,1615.206,1592.721,,,1744.153,1715.861,1739.57,,,1653.711,1704.353,1695.56,,,1588.949,1593.044,1606.159,,,1593.594,1592.853,1596.523,,,1668.176,1687.624,1671.383
3,1603.264,1619.642,1585.109,,,1746.546,1690.082,1732.343,,,1652.492,1691.592,1701.46,,,1572.707,1595.736,1588.693,,,1603.333,1596.401,1589.921,,,1674.823,1693.686,1686.177
4,1602.774,1635.781,1591.519,,,1738.854,1695.133,1731.081,,,1646.219,1671.096,1670.484,,,1600.425,1586.608,1587.017,,,1596.025,1587.861,1599.166,,,1663.957,1683.128,1673.098
5,1598.9,1649.904,1583.18,,,1724.166,1673.756,1739.893,,,1641.597,1685.545,1670.006,,,1612.986,1568.853,1584.218,,,1596.844,1608.949,1606.556,,,1656.917,1661.669,1667.681
6,1604.129,1635.68,1588.016,,,1723.408,1675.291,1744.707,,,1635.723,1683.756,1663.665,,,1598.628,1583.228,1570.37,,,1606.82,1612.385,1595.213,,,1654.978,1686.636,1659.855
7,1607.678,1613.138,1600.752,,,1727.258,1672.886,1729.171,,,1635.77,1688.563,1661.659,,,1583.971,1564.414,1567.056,,,1624.806,1614.002,1600.506,,,1657.509,1673.504,1648.395
8,1578.976,1624.222,1614.202,,,1713.318,1684.752,1724.575,,,1631.91,1686.877,1657.964,,,1597.397,1542.259,1560.594,,,1594.222,1598.39,1582.682,,,1666.955,1672.181,1655.908
9,1590.286,1616.388,1597.075,,,1707.117,1674,1737.054,,,1630.771,1682.678,1644.682,,,1575.094,1554.618,1568.289,,,1605.503,1602.79,1587.449,,,1668.892,1669.952,1670.297
10,1571.852,1623.081,1600.431,,,1683.234,1658.942,1726.319,,,1628.264,1671.962,1658.002,,,1585.771,1558.006,1582.545,,,1619.106,1608.676,1593.836,,,1667.857,1673.707,1652.642
